,Model,Augmentation,cosine distance
0,conch,rotate_30,0.027445925399661064
1,conch,rotate_60,0.03050881437957287
2,conch,rotate_90,0.013729363679885864
3,conch,rotate_120,0.03042673133313656
4,conch,rotate_150,0.027954183518886566
5,conch,rotate_180,0.006591937504708767
6,conch,rotate_210,0.028365440666675568
7,conch,rotate_240,0.03102783113718033
8,conch,rotate_270,0.013725468888878822
9,conch,rotate_300,0.03021290712058544
10,conch,rotate_330,0.027308760210871696
11,conch,rotate_15,0.02210717834532261
12,conch,rotate_45,0.030911531299352646
13,conch,rotate_75,0.028100276365876198
14,conch,rotate_105,0.02818404696881771
15,conch,rotate_135,0.03099982626736164
16,conch,rotate_165,0.02314368076622486
17,conch,rotate_195,0.02341129630804062
18,conch,rotate_225,0.0315125547349453
19,conch,rotate_255,0.028389014303684235
20,conch,rotate_285,0.028166180476546288
21,conch,rotate_315,0.030632108449935913
22,conch,rotate_345,0.021975742653012276
23,uni,rotate_30,0.06468401849269867
24,uni,rotate_60,0.08546460419893265
25,uni,rotate_90,0.07159251719713211
26,uni,rotate_120,0.09944836050271988
27,uni,rotate_150,0.0961819514632225
28,uni,rotate_180,0.06449326127767563
29,uni,rotate_210,0.09393951296806335
30,uni,rotate_240,0.09501238912343979
31,uni,rotate_270,0.06432721018791199
32,uni,rotate_300,0.08033882081508636
33,uni,rotate_330,0.0648898258805275
34,uni,rotate_15,0.04531664401292801
35,uni,rotate_45,0.07983428239822388
36,uni,rotate_75,0.08589679002761841
37,uni,rotate_105,0.09215837717056274
38,uni,rotate_135,0.10226456820964813
39,uni,rotate_165,0.08614794164896011
40,uni,rotate_195,0.08485513180494308
41,uni,rotate_225,0.10044017434120178
42,uni,rotate_255,0.0869317352771759
43,uni,rotate_285,0.07820417732000351
44,uni,rotate_315,0.07854602485895157
45,uni,rotate_345,0.044879645109176636
46,pathdino,rotate_30,0.027993254363536835
47,pathdino,rotate_60,0.028520312160253525
48,pathdino,rotate_90,0.004406368359923363
49,pathdino,rotate_120,0.02873072400689125
50,pathdino,rotate_150,0.028503932058811188
51,pathdino,rotate_180,0.0036638949532061815
52,pathdino,rotate_210,0.028416208922863007
53,pathdino,rotate_240,0.028755029663443565
54,pathdino,rotate_270,0.004395248368382454
55,pathdino,rotate_300,0.0284755639731884
56,pathdino,rotate_330,0.028019525110721588
57,pathdino,rotate_15,0.025659117847681046
58,pathdino,rotate_45,0.029856622219085693
59,pathdino,rotate_75,0.026486806571483612
60,pathdino,rotate_105,0.026747779920697212
61,pathdino,rotate_135,0.030243033543229103
62,pathdino,rotate_165,0.02600816637277603
63,pathdino,rotate_195,0.026037923991680145
64,pathdino,rotate_225,0.03021775558590889
65,pathdino,rotate_255,0.02662535570561886
66,pathdino,rotate_285,0.02666637673974037
67,pathdino,rotate_315,0.029880044981837273
68,pathdino,rotate_345,0.02549489215016365
69,hibou_b,rotate_30,0.020643090829253197
70,hibou_b,rotate_60,0.02287316508591175
71,hibou_b,rotate_90,0.009443436749279499
72,hibou_b,rotate_120,0.02473815530538559
73,hibou_b,rotate_150,0.023634543642401695
74,hibou_b,rotate_180,0.00769834965467453
75,hibou_b,rotate_210,0.023455174639821053
76,hibou_b,rotate_240,0.02439715340733528
77,hibou_b,rotate_270,0.009422221221029758
78,hibou_b,rotate_300,0.02321472205221653
79,hibou_b,rotate_330,0.020623328164219856
80,hibou_b,rotate_15,0.01647287793457508
81,hibou_b,rotate_45,0.02304183319211006
82,hibou_b,rotate_75,0.020915156230330467
83,hibou_b,rotate_105,0.022081954404711723
84,hibou_b,rotate_135,0.02550210990011692
85,hibou_b,rotate_165,0.019982313737273216
86,hibou_b,rotate_195,0.019888656213879585
87,hibou_b,rotate_225,0.0252905935049057
88,hibou_b,rotate_255,0.021636467427015305
89,hibou_b,rotate_285,0.02126382477581501
90,hibou_b,rotate_315,0.02320285513997078
91,hibou_b,rotate_345,0.01645818166434765
92,hibou_l,rotate_30,0.01892351545393467
93,hibou_l,rotate_60,0.018833596259355545
94,hibou_l,rotate_90,0.0040171146392822266
95,hibou_l,rotate_120,0.020174071192741394
96,hibou_l,rotate_150,0.02000429481267929
97,hibou_l,rotate_180,0.0029262315947562456
98,hibou_l,rotate_210,0.019558586180210114
99,hibou_l,rotate_240,0.019216075539588928
100,hibou_l,rotate_270,0.004259868059307337
101,hibou_l,rotate_300,0.02000022493302822
102,hibou_l,rotate_330,0.019025161862373352
103,hibou_l,rotate_15,0.01464154664427042
104,hibou_l,rotate_45,0.0200558602809906
105,hibou_l,rotate_75,0.01533730048686266
106,hibou_l,rotate_105,0.016070624813437462
107,hibou_l,rotate_135,0.0213701780885458
108,hibou_l,rotate_165,0.01584179885685444
109,hibou_l,rotate_195,0.01549575012177229
110,hibou_l,rotate_225,0.020647138357162476
111,hibou_l,rotate_255,0.015597839839756489
112,hibou_l,rotate_285,0.016186930239200592
113,hibou_l,rotate_315,0.020778842270374298
114,hibou_l,rotate_345,0.014796307310461998
115,phikon,rotate_30,0.04620347544550896
116,phikon,rotate_60,0.07444153726100922
117,phikon,rotate_90,0.07003333419561386
118,phikon,rotate_120,0.09431813657283783
119,phikon,rotate_150,0.08636485785245895
120,phikon,rotate_180,0.058184560388326645
121,phikon,rotate_210,0.08129259943962097
122,phikon,rotate_240,0.08423274010419846
123,phikon,rotate_270,0.05210735648870468
124,phikon,rotate_300,0.05547679588198662
125,phikon,rotate_330,0.045670393854379654
126,phikon,rotate_15,0.02799660712480545
127,phikon,rotate_45,0.06459697335958481
128,phikon,rotate_75,0.07762710005044937
129,phikon,rotate_105,0.08785055577754974
130,phikon,rotate_135,0.09481421113014221
131,phikon,rotate_165,0.07573202252388
132,phikon,rotate_195,0.07451082766056061
133,phikon,rotate_225,0.08590604364871979
134,phikon,rotate_255,0.07508627325296402
135,phikon,rotate_285,0.05827352777123451
136,phikon,rotate_315,0.05432174727320671
137,phikon,rotate_345,0.028201378881931305
138,phikon2,rotate_30,0.11838304996490479
139,phikon2,rotate_60,0.1804858297109604
140,phikon2,rotate_90,0.14734001457691193
141,phikon2,rotate_120,0.20787514746189117
142,phikon2,rotate_150,0.1837151199579239
143,phikon2,rotate_180,0.1119876503944397
144,phikon2,rotate_210,0.17541831731796265
145,phikon2,rotate_240,0.1911589652299881
146,phikon2,rotate_270,0.11367293447256088
147,phikon2,rotate_300,0.13840074837207794
148,phikon2,rotate_330,0.10647093504667282
149,phikon2,rotate_15,0.06324121356010437
150,phikon2,rotate_45,0.1716492623090744
151,phikon2,rotate_75,0.16535890102386475
152,phikon2,rotate_105,0.17892122268676758
153,phikon2,rotate_135,0.2160942107439041
154,phikon2,rotate_165,0.14724773168563843
155,phikon2,rotate_195,0.14399519562721252
156,phikon2,rotate_225,0.20275287330150604
157,phikon2,rotate_255,0.15267901122570038
158,phikon2,rotate_285,0.12301335483789444
159,phikon2,rotate_315,0.14149484038352966
160,phikon2,rotate_345,0.05963904783129692
161,prov_gigapath,rotate_30,0.054993923753499985
162,prov_gigapath,rotate_60,0.0629495233297348
163,prov_gigapath,rotate_90,0.03282010927796364
164,prov_gigapath,rotate_120,0.06704322248697281
165,prov_gigapath,rotate_150,0.0628322884440422
166,prov_gigapath,rotate_180,0.025039834901690483
167,prov_gigapath,rotate_210,0.06237296015024185
168,prov_gigapath,rotate_240,0.06633078306913376
169,prov_gigapath,rotate_270,0.03292247653007507
170,prov_gigapath,rotate_300,0.06221655383706093
171,prov_gigapath,rotate_330,0.05440196767449379
172,prov_gigapath,rotate_15,0.0459149070084095
173,prov_gigapath,rotate_45,0.0627310648560524
174,prov_gigapath,rotate_75,0.060784246772527695
175,prov_gigapath,rotate_105,0.06294265389442444
176,prov_gigapath,rotate_135,0.06850787252187729
177,prov_gigapath,rotate_165,0.05539914593100548
178,prov_gigapath,rotate_195,0.05543466657400131
179,prov_gigapath,rotate_225,0.06782818585634232
180,prov_gigapath,rotate_255,0.06189662963151932
181,prov_gigapath,rotate_285,0.059742387384176254
182,prov_gigapath,rotate_315,0.061802420765161514
183,prov_gigapath,rotate_345,0.04529716446995735
184,virchow,rotate_30,0.0699254646897316
185,virchow,rotate_60,0.13512197136878967
186,virchow,rotate_90,0.11322790384292603
187,virchow,rotate_120,0.15717963874340057
188,virchow,rotate_150,0.14775876700878143
189,virchow,rotate_180,0.11759105324745178
190,virchow,rotate_210,0.17472992837429047
191,virchow,rotate_240,0.16865722835063934
192,virchow,rotate_270,0.06021053344011307
193,virchow,rotate_300,0.08245755732059479
194,virchow,rotate_330,0.06240134686231613
195,virchow,rotate_15,0.030513236299157143
196,virchow,rotate_45,0.1152815893292427
197,virchow,rotate_75,0.1296216994524002
198,virchow,rotate_105,0.12870487570762634
199,virchow,rotate_135,0.1667344719171524
200,virchow,rotate_165,0.1330135613679886
201,virchow,rotate_195,0.14480933547019958
202,virchow,rotate_225,0.19281527400016785
203,virchow,rotate_255,0.11257103830575943
204,virchow,rotate_285,0.06731309741735458
205,virchow,rotate_315,0.08511871844530106
206,virchow,rotate_345,0.03035109117627144
207,virchow2,rotate_30,0.0287322998046875
208,virchow2,rotate_60,0.03472900390625
209,virchow2,rotate_90,0.013885498046875
210,virchow2,rotate_120,0.038055419921875
211,virchow2,rotate_150,0.035003662109375
212,virchow2,rotate_180,0.0104522705078125
213,virchow2,rotate_210,0.035186767578125
214,virchow2,rotate_240,0.03680419921875
215,virchow2,rotate_270,0.01183319091796875
216,virchow2,rotate_300,0.031494140625
217,virchow2,rotate_330,0.027923583984375
218,virchow2,rotate_15,0.0193023681640625
219,virchow2,rotate_45,0.035308837890625
220,virchow2,rotate_75,0.0291595458984375
221,virchow2,rotate_105,0.03076171875
222,virchow2,rotate_135,0.04022216796875
223,virchow2,rotate_165,0.0267486572265625
224,virchow2,rotate_195,0.027008056640625
225,virchow2,rotate_225,0.039306640625
226,virchow2,rotate_255,0.0294189453125
227,virchow2,rotate_285,0.0261383056640625
228,virchow2,rotate_315,0.03271484375
229,virchow2,rotate_345,0.019256591796875
230,kaiko_b,rotate_30,0.029655708000063896
231,kaiko_b,rotate_60,0.0571206733584404
232,kaiko_b,rotate_90,0.03482184559106827
233,kaiko_b,rotate_120,0.04104074463248253
234,kaiko_b,rotate_150,0.027026411145925522
235,kaiko_b,rotate_180,0.004046303685754538
236,kaiko_b,rotate_210,0.030155150219798088
237,kaiko_b,rotate_240,0.056825436651706696
238,kaiko_b,rotate_270,0.03495495021343231
239,kaiko_b,rotate_300,0.04092063009738922
240,kaiko_b,rotate_330,0.026864809915423393
241,kaiko_b,rotate_15,0.0192259531468153
242,kaiko_b,rotate_45,0.04907137155532837
243,kaiko_b,rotate_75,0.05116920918226242
244,kaiko_b,rotate_105,0.04215501621365547
245,kaiko_b,rotate_135,0.03961111232638359
246,kaiko_b,rotate_165,0.01894264668226242
247,kaiko_b,rotate_195,0.019911382347345352
248,kaiko_b,rotate_225,0.04965754970908165
249,kaiko_b,rotate_255,0.05079840123653412
250,kaiko_b,rotate_285,0.042144980281591415
251,kaiko_b,rotate_315,0.03951818868517876
252,kaiko_b,rotate_345,0.01830749772489071
253,kaiko_l,rotate_30,0.09003452956676483
254,kaiko_l,rotate_60,0.19887098670005798
255,kaiko_l,rotate_90,0.14060620963573456
256,kaiko_l,rotate_120,0.14693909883499146
257,kaiko_l,rotate_150,0.09169643372297287
258,kaiko_l,rotate_180,0.007662108633667231
259,kaiko_l,rotate_210,0.09380335360765457
260,kaiko_l,rotate_240,0.1985917091369629
261,kaiko_l,rotate_270,0.14087378978729248
262,kaiko_l,rotate_300,0.14510749280452728
263,kaiko_l,rotate_330,0.088968425989151
264,kaiko_l,rotate_15,0.037628255784511566
265,kaiko_l,rotate_45,0.1720932424068451
266,kaiko_l,rotate_75,0.17705924808979034
267,kaiko_l,rotate_105,0.14447972178459167
268,kaiko_l,rotate_135,0.13670526444911957
269,kaiko_l,rotate_165,0.041709791868925095
270,kaiko_l,rotate_195,0.04266946390271187
271,kaiko_l,rotate_225,0.1731109768152237
272,kaiko_l,rotate_255,0.17866499722003937
273,kaiko_l,rotate_285,0.1425403505563736
274,kaiko_l,rotate_315,0.13478074967861176
275,kaiko_l,rotate_345,0.03696226328611374
